Column1,Column2,Column3,Column4
2420.000278,LW1GenServer,Busy,0
2420.000278,LW2GenServer,Busy,0
2420.000278,LWDevGenServer,Busy,0
2424.000278,LW1GenServer,Offshift,0
2424.000278,LW2GenServer,Offshift,0
2424.000278,LWDevGenServer,Offshift,0
2428.000278,LW1GenServer,Busy,0
2428.000278,LW2GenServer,Busy,0
2428.000278,LWDevGenServer,Busy,0
2432.000278,LW1GenServer,Offshift,0
2432.000278,LW2GenServer,Offshift,0
2432.000278,LWDevGenServer,Offshift,0
2436.000278,LW1GenServer,Busy,0
2436.000278,LW2GenServer,Busy,0
2436.000278,LWDevGenServer,Busy,0
2440.000278,LW1GenServer,Offshift,0
2440.000278,LW2GenServer,Offshift,0
2440.000278,LWDevGenServer,Offshift,0
2444.000278,LW1GenServer,Busy,0
2444.000278,LW2GenServer,Busy,0
2444.000278,LWDevGenServer,Busy,0
2448.000278,LW1GenServer,Offshift,0
2448.000278,LW2GenServer,Offshift,0
2448.000278,LWDevGenServer,Offshift,0
2452.000278,LW1GenServer,Busy,0
2452.000278,LW2GenServer,Busy,0
2452.000278,LWDevGenServer,Busy,0
2456.000278,LW1GenServer,Offshift,0
2456.000278,LW2GenServer,Offshift,0
2456.000278,LWDevGenServer,Offshift,0
2460.000278,LW1GenServer,Busy,0
2460.000278,LW2GenServer,Busy,0
2460.000278,LWDevGenServer,Busy,0
2464.000278,LW1GenServer,Offshift,0
2464.000278,LW2GenServer,Offshift,0
2464.000278,LWDevGenServer,Offshift,0
2468.000278,LW1GenServer,Busy,0
2468.000278,LW2GenServer,Busy,0
2468.000278,LWDevGenServer,Busy,0
2472.000278,LW1GenServer,Offshift,0
2472.000278,LW2GenServer,Offshift,0
2472.000278,LWDevGenServer,Offshift,0
2476.000278,LW1GenServer,Busy,0
2476.000278,LW2GenServer,Busy,0
2476.000278,LWDevGenServer,Busy,0
2480.000278,LW1GenServer,Offshift,0
2480.000278,LW2GenServer,Offshift,0
2480.000278,LWDevGenServer,Offshift,0
2484.000278,LW1GenServer,Busy,0
2484.000278,LW2GenServer,Busy,0
2484.000278,LWDevGenServer,Busy,0
2488.000278,LW1GenServer,Offshift,0
2488.000278,LW2GenServer,Offshift,0
2488.000278,LWDevGenServer,Offshift,0
2492.000278,LW1GenServer,Busy,0
2492.000278,LW2GenServer,Busy,0
2492.000278,LWDevGenServer,Busy,0
2496.000278,LW1GenServer,Offshift,0
2496.000278,LW2GenServer,Offshift,0
2496.000278,LWDevGenServer,Offshift,0
2500.000278,LW1GenServer,Busy,0
2500.000278,LW2GenServer,Busy,0
2500.000278,LWDevGenServer,Busy,0
2504.000278,LW1GenServer,Offshift,0
2504.000278,LW2GenServer,Offshift,0
2504.000278,LWDevGenServer,Offshift,0
2508.000278,LW1GenServer,Busy,0
2508.000278,LW2GenServer,Busy,0
2508.000278,LWDevGenServer,Busy,0
2512.000278,LW1GenServer,Offshift,0
2512.000278,LW2GenServer,Offshift,0
2512.000278,LWDevGenServer,Offshift,0
2516.000278,LW1GenServer,Busy,0
2516.000278,LW2GenServer,Busy,0
2516.000278,LWDevGenServer,Busy,0
2519.165837,CPPWorkSchedule,FailedBusy,1
2520.000278,LW1GenServer,Offshift,0
2520.000278,LW2GenServer,Offshift,0
2520.000278,LWDevGenServer,Offshift,0
2524.000278,LW1GenServer,Busy,0
2524.000278,LW2GenServer,Busy,0
2524.000278,LWDevGenServer,Busy,0
2524.659573,CPPWorkSchedule,Busy,0
2526.909918,CPPWorkSchedule,FailedBusy,1
2528.000278,LW1GenServer,Offshift,0
2528.000278,LW2GenServer,Offshift,0
2528.000278,LWDevGenServer,Offshift,0
2532.000278,LW1GenServer,Busy,0
2532.000278,LW2GenServer,Busy,0
2532.000278,LWDevGenServer,Busy,0
2536.000278,LW1GenServer,Offshift,0
2536.000278,LW2GenServer,Offshift,0
2536.000278,LWDevGenServer,Offshift,0
2540.000278,LW1GenServer,Busy,0
2540.000278,LW2GenServer,Busy,0
2540.000278,LWDevGenServer,Busy,0
2542.533387,CPPWorkSchedule,Busy,0
2543.736305,CPPWorkSchedule,FailedBusy,1
2544.000278,LW1GenServer,Offshift,0
2544.000278,LW2GenServer,Offshift,0
2544.000278,LWDevGenServer,Offshift,0
2548.000278,LW1GenServer,Busy,0
2548.000278,LW2GenServer,Busy,0
2548.000278,LWDevGenServer,Busy,0
2550.175601,CPPWorkSchedule,Busy,0
2552.000278,LW1GenServer,Offshift,0
2552.000278,LW2GenServer,Offshift,0
2552.000278,LWDevGenServer,Offshift,0
2556.000278,LW1GenServer,Busy,0
2556.000278,LW2GenServer,Busy,0
2556.000278,LWDevGenServer,Busy,0
2560.000278,LW1GenServer,Offshift,0
2560.000278,LW2GenServer,Offshift,0
2560.000278,LWDevGenServer,Offshift,0
2564.000278,LW1GenServer,Busy,0
2564.000278,LW2GenServer,Busy,0
2564.000278,LWDevGenServer,Busy,0
2568.000278,LW1GenServer,Offshift,0
2568.000278,LW2GenServer,Offshift,0
2568.000278,LWDevGenServer,Offshift,0
2572.000278,LW1GenServer,Busy,0
2572.000278,LW2GenServer,Busy,0
2572.000278,LWDevGenServer,Busy,0
2576.000278,LW1GenServer,Offshift,0
2576.000278,LW2GenServer,Offshift,0
2576.000278,LWDevGenServer,Offshift,0
2580.000278,LW1GenServer,Busy,0
2580.000278,LW2GenServer,Busy,0
2580.000278,LWDevGenServer,Busy,0
2584.000278,LW1GenServer,Offshift,0
2584.000278,LW2GenServer,Offshift,0
2584.000278,LWDevGenServer,Offshift,0
2588.000278,LW1GenServer,Busy,0
2588.000278,LW2GenServer,Busy,0
2588.000278,LWDevGenServer,Busy,0
2592.000278,LW1GenServer,Offshift,0
2592.000278,LW2GenServer,Offshift,0
2592.000278,LWDevGenServer,Offshift,0
2596.000278,LW1GenServer,Busy,0
2596.000278,LW2GenServer,Busy,0
2596.000278,LWDevGenServer,Busy,0
2600.000278,LW1GenServer,Offshift,0
2600.000278,LW2GenServer,Offshift,0
2600.000278,LWDevGenServer,Offshift,0
2604.000278,LW1GenServer,Busy,0
2604.000278,LW2GenServer,Busy,0
2604.000278,LWDevGenServer,Busy,0
2608.000278,LW1GenServer,Offshift,0
2608.000278,LW2GenServer,Offshift,0
2608.000278,LWDevGenServer,Offshift,0
2612.000278,LW1GenServer,Busy,0
2612.000278,LW2GenServer,Busy,0
2612.000278,LWDevGenServer,Busy,0
2616.000278,LW1GenServer,Offshift,0
2616.000278,LW2GenServer,Offshift,0
2616.000278,LWDevGenServer,Offshift,0
2620.000278,LW1GenServer,Busy,0
2620.000278,LW2GenServer,Busy,0
2620.000278,LWDevGenServer,Busy,0
2620.218303,CPPWorkSchedule,FailedBusy,1
2624.000278,LW1GenServer,Offshift,0
2624.000278,LW2GenServer,Offshift,0
2624.000278,LWDevGenServer,Offshift,0
2624.439978,CPPWorkSchedule,Busy,0
2628.000278,LW1GenServer,Busy,0
2628.000278,LW2GenServer,Busy,0
2628.000278,LWDevGenServer,Busy,0
2632.000278,LW1GenServer,Offshift,0
2632.000278,LW2GenServer,Offshift,0
2632.000278,LWDevGenServer,Offshift,0
2636.000278,LW1GenServer,Busy,0
2636.000278,LW2GenServer,Busy,0
2636.000278,LWDevGenServer,Busy,0
2640.000278,LW1GenServer,Offshift,0
2640.000278,LW2GenServer,Offshift,0
2640.000278,LWDevGenServer,Offshift,0
2644.000278,LW1GenServer,Busy,0
2644.000278,LW2GenServer,Busy,0
2644.000278,LWDevGenServer,Busy,0
2648.000278,LW1GenServer,Offshift,0
2648.000278,LW2GenServer,Offshift,0
2648.000278,LWDevGenServer,Offshift,0
2652.000278,LW1GenServer,Busy,0
2652.000278,LW2GenServer,Busy,0
2652.000278,LWDevGenServer,Busy,0
2656.000278,LW1GenServer,Offshift,0
2656.000278,LW2GenServer,Offshift,0
2656.000278,LWDevGenServer,Offshift,0
2660.000278,LW1GenServer,Busy,0
2660.000278,LW2GenServer,Busy,0
2660.000278,LWDevGenServer,Busy,0
2664.000278,LW1GenServer,Offshift,0
2664.000278,LW2GenServer,Offshift,0
2664.000278,LWDevGenServer,Offshift,0
2668.000278,LW1GenServer,Busy,0
2668.000278,LW2GenServer,Busy,0
2668.000278,LWDevGenServer,Busy,0
2672.000278,LW1GenServer,Offshift,0
2672.000278,LW2GenServer,Offshift,0
2672.000278,LWDevGenServer,Offshift,0
2676.000278,LW1GenServer,Busy,0
2676.000278,LW2GenServer,Busy,0
2676.000278,LWDevGenServer,Busy,0
2678.706761,TrainLoadStation,Failed,0
2679.615004,TrainLoadStation,Busy,0
2680.000278,LW1GenServer,Offshift,0
2680.000278,LW2GenServer,Offshift,0
2680.000278,LWDevGenServer,Offshift,0
2684.000278,LW1GenServer,Busy,0
2684.000278,LW2GenServer,Busy,0
2684.000278,LWDevGenServer,Busy,0
2688.000278,LW1GenServer,Offshift,0
2688.000278,LW2GenServer,Offshift,0
